SNo,Date,StartupName,IndustryVertical,SubVertical,InvestmentType,New,AmountInUSD
233,24/04/2017,Faasos,Food & Beverage,QSR chain and online food delivery,Private Equity,6300,"6,300,000"
234,24/04/2017,Oyo Rooms,Consumer Internet,Branded Budget Hotels Aggregator,Private Equity,250000,"250,000,000"
235,24/04/2017,Toppr,Consumer Internet,Learning mobile app for students,Private Equity,3200,"3,200,000"
237,25/04/2017,The Office Pass,Consumer Internet,CoWorking Spaces booking platform,Seed Funding,245,"245,000"
238,25/04/2017,UrbanClap,Consumer Internet,Mobile Services Marketplace,Private Equity,3100,"3,100,000"
239,26/04/2017,Awfis,Consumer Internet,Collaborative co-Working Spaces,Private Equity,20000,"20,000,000"
241,26/04/2017,Flytxt,Technology,Customer data analytics software,Private Equity,11000,"11,000,000"
242,26/04/2017,Howdy Ventures,Consumer Internet,Public and Private Events creation app,Seed Funding,1500,"1,500,000"
243,26/04/2017,StalkBuyLove,eCommerce,Online fashion marketplace,Private Equity,1000,"1,000,000"
245,27/04/2017,Scootsy,Consumer Internet,On-Demand Food Delivery,Private Equity,3600,"3,600,000"
248,27/04/2017,iNurture,Consumer Internet,Online Educational courses,Private Equity,1500,"1,500,000"
249,28/04/2017,Sepalika,Consumer Internet,Healthcare related content platform,Seed Funding,750,"750,000"
252,1/3/2017,Ola,Consumer Internet,App based cab aggregator,Private Equity,330000,"330,000,000"
253,1/3/2017,Belong,Consumer Internet,Online Jon Portal,Private Equity,10000,"10,000,000"
256,2/3/2017,Celes Care,Consumer Internet,Women Healthcare & Information portal,Private Equity,1500,"1,500,000"
257,2/3/2017,Karomi,Technology,Packaging Artwork Management software,Seed Funding,500,"500,000"
258,2/3/2017,Red Carpet,Consumer Internet,Micro Lending platform,Private Equity,2500,"2,500,000"
260,2/3/2017,CreditMantri,Consumer Internet,Online Credit score & lending platform,Private Equity,7600,"7,600,000"
262,3/3/2017,Tydy,Technology,Employee Onboarding and Engagement platform,Seed Funding,275,"275,000"
264,3/3/2017,Oho Shop,Technology,eCommerce Mobile App Builder,Private Equity,6700,"6,700,000"
266,3/3/2017,Paytm Marketplace,ECommerce,ECommerce Marketplace,Private Equity,200000,"200,000,000"
267,4/3/2017,iGenetics,Healthcare,Health Diagnostic Solutions,Private Equity,19500,"19,500,000"
268,6/3/2017,Juno Clinic,Consumer Internet,Online Counseling Platform,Seed Funding,1200,"1,200,000"
269,6/3/2017,Summerlabel,Consumer Internet,Fashion and Lifestyle discovery platform,Seed Funding,150,"150,000"
270,6/3/2017,PickMe,Consumer Internet,Gadget Insurance & Repair Services platform,Private Equity,1790,"1,790,000"
271,7/3/2017,Agrostar,Technology,Direct-to-Farmer Mobile-Based Retail platform,Private Equity,10000,"10,000,000"
272,7/3/2017,Zapr,Technology,"DSP, TV Analytics & Cross-Platform advertising",Private Equity,10000,"10,000,000"
273,7/3/2017,Data Resolve,Technology,Cyber Security Solutions,Private Equity,1000,"1,000,000"
274,7/3/2017,Book Servicing,Consumer Internet,Online Vehicle Services Booking platform,Seed Funding,30,"30,000"
275,7/3/2017,Blowhorn,Consumer Internet,Intra-City Logistics provider,Private Equity,3650,"3,650,000"
276,8/3/2017,Rivigo,Logistics,Technology Enabled Logistics Company,Private Equity,15000,"15,000,000"
277,8/3/2017,PipeCandy,Technology,Intelligent Sales Prospecting Platform,Seed Funding,1100,"1,100,000"
278,8/3/2017,Supr Daily,Consumer Internet,Subscription based Home Delivery Platform,Seed Funding,120,"120,000"
280,9/3/2017,AppBrowzer,Consumer Internet,Instant Mobile Apps Store,Seed Funding,500,"500,000"
281,9/3/2017,MagicBricks,Consumer Internet,Online Real Estate Portal,Private Equity,4500,"4,500,000"
